text_id,url,source_slug,skip,original_slug,last_status,last_checked,comments
104,https://www.let.leidenuniv.nl/Dutch/Ceneton/BoonLeiden1711.html,ceneton:BoonLeiden1711,,,,,
105,https://www.let.leidenuniv.nl/Dutch/Ceneton/BormeesterAegje1664.html,ceneton:BormeesterAegje1664,,,,,
106,https://www.let.leidenuniv.nl/Dutch/Ceneton/BormeesterDoeden1643.html,ceneton:BormeesterDoeden1643,,,,,
107,https://www.let.leidenuniv.nl/Dutch/Ceneton/BormeesterInfidelitas1644.html,ceneton:BormeesterInfidelitas1644,,,,,
108,https://www.let.leidenuniv.nl/Dutch/Ceneton/BormeesterSijtje1643.html,ceneton:BormeesterSijtje1643,,,,,
109,https://www.let.leidenuniv.nl/Dutch/Ceneton/BormeesterZijtje1647.html,ceneton:BormeesterZijtje1647,,,,,
110,https://www.let.leidenuniv.nl/Dutch/Ceneton/BosAgamemnon1661.html,ceneton:BosAgamemnon1661,,,,,
111,https://www.let.leidenuniv.nl/Dutch/Ceneton/BosBiancaCapellis1649.html,ceneton:BosBiancaCapellis1649,,,,,
112,https://www.let.leidenuniv.nl/Dutch/Ceneton/BosCatilina1669.html,ceneton:BosCatilina1669,,,,,
113,https://www.let.leidenuniv.nl/Dutch/Ceneton/BosRoodeWitteRoos1651.html,ceneton:BosRoodeWitteRoos1651,,,,,
114,https://www.let.leidenuniv.nl/Dutch/Ceneton/BouckartHanibal1653.html,ceneton:BouckartHanibal1653,,,,,
115,https://www.let.leidenuniv.nl/Dutch/Ceneton/BouckartScipio1658.html,ceneton:BouckartScipio1658,,,,,
116,https://www.let.leidenuniv.nl/Dutch/Ceneton/BraamMariamne1774.html,ceneton:BraamMariamne1774,,,,,
117,https://www.let.leidenuniv.nl/Dutch/Ceneton/BrandtAugustinus1680ca.html,ceneton:BrandtAugustinus1680ca,,,,,
118,https://www.let.leidenuniv.nl/Dutch/Ceneton/BrandtTorquatus1645.html,ceneton:BrandtTorquatus1645,,,,,
119,https://www.let.leidenuniv.nl/Dutch/Ceneton/BrederoBarbier1622.html,ceneton:BrederoBarbier1622,,,,,
120,https://www.let.leidenuniv.nl/Dutch/Ceneton/BrederoBrabander1618.html,ceneton:BrederoBrabander1618,,,,,
121,https://www.let.leidenuniv.nl/Dutch/Ceneton/BrederoGriane1616.html,ceneton:BrederoGriane1616,,,,,
122,https://www.let.leidenuniv.nl/Dutch/Ceneton/BrederoKluchten1619.html,ceneton:BrederoKluchten1619,,,,,
123,https://www.let.leidenuniv.nl/Dutch/Ceneton/BrederoLucelle1616.html,ceneton:BrederoLucelle1616,,,,,
124,https://www.let.leidenuniv.nl/Dutch/Ceneton/BrederoRoddrick1616.html,ceneton:BrederoRoddrick1616,,,,,
125,https://www.let.leidenuniv.nl/Dutch/Ceneton/BreenBlindeman1748.html,ceneton:BreenBlindeman1748,,,,,
126,https://www.let.leidenuniv.nl/Dutch/Ceneton/BreenJalouzy1659.html,ceneton:BreenJalouzy1659,,,,,
127,https://www.let.leidenuniv.nl/Dutch/Ceneton/BreenJeanRoyRijke1665.html,ceneton:BreenJeanRoyRijke1665,,,,,
128,https://www.let.leidenuniv.nl/Dutch/Ceneton/BreenKalf1656.html,ceneton:BreenKalf1656,,,,,
129,https://www.let.leidenuniv.nl/Dutch/Ceneton/BreenMinnaers1748ca.html,ceneton:BreenMinnaers1748ca,,,,,
130,https://www.let.leidenuniv.nl/Dutch/Ceneton/BremerHans1683.html,ceneton:BremerHans1683,,,,,
131,https://www.let.leidenuniv.nl/Dutch/Ceneton/BreughelCluchten1610.html,ceneton:BreughelCluchten1610,,,,,
132,https://www.let.leidenuniv.nl/Dutch/Ceneton/BroeckdraghendeVrouwe1683.html,ceneton:BroeckdraghendeVrouwe1683,,,,,
133,https://www.let.leidenuniv.nl/Dutch/Ceneton/BroeckdraghendeVrouwe1693.html,ceneton:BroeckdraghendeVrouwe1693,,,,,
134,https://www.let.leidenuniv.nl/Dutch/Ceneton/BrouwerBeleghLeyden1683.html,ceneton:BrouwerBeleghLeyden1683,,,,,
135,https://www.let.leidenuniv.nl/Dutch/Ceneton/Brunius11Hamlet1778.html,ceneton:Brunius11Hamlet1778,,,,,
136,https://www.let.leidenuniv.nl/Dutch/Ceneton/Brunius12Storm1778.html,ceneton:Brunius12Storm1778,,,,,
137,https://www.let.leidenuniv.nl/Dutch/Ceneton/Brunius13Windsor1778.html,ceneton:Brunius13Windsor1778,,,,,
138,https://www.let.leidenuniv.nl/Dutch/Ceneton/Brunius21Macbeth1780.html,ceneton:Brunius21Macbeth1780,,,,,
139,https://www.let.leidenuniv.nl/Dutch/Ceneton/Brunius22Johannes1780.html,ceneton:Brunius22Johannes1780,,,,,
140,https://www.let.leidenuniv.nl/Dutch/Ceneton/Brunius23Temmen1780.html,ceneton:Brunius23Temmen1780,,,,,
141,https://www.let.leidenuniv.nl/Dutch/Ceneton/Brunius31Othello1781.html,ceneton:Brunius31Othello1781,,,,,
142,https://www.let.leidenuniv.nl/Dutch/Ceneton/Brunius32Henrik1781.html,ceneton:Brunius32Henrik1781,,,,,
143,https://www.let.leidenuniv.nl/Dutch/Ceneton/Brunius33Dwaaling1781.html,ceneton:Brunius33Dwaaling1781,,,,,
144,https://www.let.leidenuniv.nl/Dutch/Ceneton/Brunius41Antonius1781.html,ceneton:Brunius41Antonius1781,,,,,
145,https://www.let.leidenuniv.nl/Dutch/Ceneton/Brunius42Richard1781.html,ceneton:Brunius42Richard1781,,,,,
146,https://www.let.leidenuniv.nl/Dutch/Ceneton/Brunius43Verona1781.html,ceneton:Brunius43Verona1781,,,,,
147,https://www.let.leidenuniv.nl/Dutch/Ceneton/Brunius51Coriolanus1782.html,ceneton:Brunius51Coriolanus1782,,,,,
148,https://www.let.leidenuniv.nl/Dutch/Ceneton/Brunius52Hendrik1782.html,ceneton:Brunius52Hendrik1782,,,,,
